trip_uid,trip_id,route_id,direction_id,start_time,vehicle_id,last_observed,marked_past,num_updates,num_schedule_changes,num_schedule_rewrites
1732914330_A..N54R,126550_A..N54R,A,0,1732914330,1A 2105+ LEF/207,1732937453,1732937468,581,0,0
1732914330_C..S04R,126550_C..S04R,C,1,1732914330,1C 2105+ 168/EUC,1732936943,1732936958,547,0,0
1732914360_6..N01R,126600_6..N01R,6,0,1732914360,06 2106  BBR/PEL,1732936084,1732936089,776,0,0
1732914360_N..S72R,126600_N..S72R,W,1,1732914360,1W 2106 DIT/WHL,1732935155,1732935170,810,0,0
1732914360_SI.S03R,126600_SI.S03R,SI,1,1732914360,1SI 2106 STG/TNV,1732935036,1732935051,697,0,0
1732914390_1..N03R,126650_1..N03R,1,0,1732914390,01 2106+ SFT/242,1732935939,1732935949,757,0,0
1732914390_7..N,126650_7..N,7,0,1732914390,E7 2106+ 34H/MST,1732934529,1732934539,344,0,0
1732914390_L..S,126650_L..S,L,1,1732914390,0L 2106+8AV/RPY,1732934521,1732934531,525,0,0
1732914450_7..N,126750_7..N,7,0,1732914450,07 2107+ 34H/MST,1732934799,1732934809,592,0,0
1732914450_F..N07R,126750_F..N07R,F,0,1732914450,1F 2107+ STL/179,1732938514,1732938523,1287,0,0
1732914480_4..S01R,126800_4..S01R,4,1,1732914480,04 2108  WDL/NLT,1732937426,1732937434,915,0,0
1732914480_D..N05R,126800_D..N05R,D,0,1732914480,1D 2108 STL/205,1732942790,1732856402,1855,1,0
1732914480_J..S12R,126800_J..S12R,J,1,1732914480,1J 2108 P-A/BRD,1732935427,1732935442,739,0,0
1732914480_L..N,126800_L..N,L,0,1732914480,0L 2108 RPY/8AV,1732934551,1732934561,517,0,0
1732914480_R..N78R,126800_R..N78R,R,0,1732914480,1R 2108 95S/QPL,1732936791,1732936806,899,0,0
1732914510_2..S01X009,126850_2..S01X009,2,1,1732914510,02 2108+ 241/FLA,1732938694,1732938701,1084,0,0
1732914510_GS.S04R,126850_GS.S04R,GS,1,1732914510,0S 2108+ TSS/GCS,1732932577,1732932589,268,0,0
1732914510_M..N25R,126850_M..N25R,M,0,1732914510,1M 2108+ MET/ESX,1732934133,1732934138,695,0,0
1732914540_4..N06R,126900_4..N06R,4,0,1732914540,04 2109  UTI/WDL,1732936524,1732936534,795,0,0
1732914540_N..N72R,126900_N..N72R,W,0,1732914540,1W 2109 WHL/DIT,1732935950,1732935965,839,0,0
1732914540_R..S71R,126900_R..S71R,R,1,1732914540,1R 2109 CTL/95S,1732937962,1732937976,997,0,0
1732914570_Q..N36R,126950_Q..N36R,Q,0,1732914570,1Q 2109+ STL/962,1732937136,1732937151,913,1,0
